TIMESTAMP,FREQ_MHZ,SIGNAL_POWER_W,NOISE_FLOOR_W,SNR_DB,STATUS
2026-01-09T20:31:42.450873,S60[148; 00, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.461168,S60[148; 10, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.471479,S60[148; 20, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.481827,S60[148; 30, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.492178,S60[148; 40, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.502504,S60[148; 50, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.512915,S60[149; 00, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.523403,S60[149; 10, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.533777,S60[149; 20, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.544227,S60[149; 30, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.555076,S60[149; 40, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.565448,S60[149; 50, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.575759,S60[150; 00, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.586270,S60[150; 10, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.596917,S60[150; 20, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.607253,S60[150; 30, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.617624,S60[150; 40, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.628048,S60[150; 50, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.638387,S60[151; 00, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.648825,S60[151; 10, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.659246,S60[151; 20, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.669642,S60[151; 30, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.680269,S60[151; 40, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.690685,S60[151; 50, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.701265,S60[152; 00, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.711949,S60[152; 10, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.722711,S60[152; 20, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.733537,S60[152; 30, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[000; 17, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.744838,S60[152; 40, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[000; 23, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.755617,S60[152; 50, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[000; 29, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.767269,S60[153; 00, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[000; 05, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
2026-01-09T20:31:42.777743,S60[153; 10, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[000; 11, 00, 00, 00],S60[001; 00, 00, 00, 00],NOISE
