tick,energy_total,coherence,drift
0,"SPA[001; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]"
1,"SPA[001; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 11, 00, 00, 00]"
2,"SPA[001; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
3,"SPA[001; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
4,"SPA[001; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
5,"SPA[001; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
6,"SPA[001; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
7,"SPA[001; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
8,"SPA[001; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
9,"SPA[001; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
10,"SPA[002; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
11,"SPA[002; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
12,"SPA[002; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
13,"SPA[002; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
14,"SPA[002; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
15,"SPA[002; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
16,"SPA[002; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
17,"SPA[002; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
18,"SPA[002; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
19,"SPA[002; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
20,"SPA[003; 00, 00, 00, 00]","SPA[001; 00, 00, 00, 00]","SPA[000; 00, 00, 00, 00]"
