time,amplitude
9.950050000000e-05,3.933386918220e-11
9.950100000000e-05,1.950879508838e-11
9.950150000000e-05,-4.760339451453e-12
9.950200000000e-05,-2.794537009099e-11
9.950250000000e-05,-4.476502269468e-11
9.950300000000e-05,-5.138792475172e-11
9.950350000000e-05,-4.630535915143e-11
9.950400000000e-05,-3.067495450031e-11
9.950450000000e-05,-8.057018288499e-12
9.950500000000e-05,1.639643312026e-11
9.950550000000e-05,3.711522420430e-11
9.950600000000e-05,4.937983321451e-11
9.950650000000e-05,5.039644937464e-11
9.950700000000e-05,3.993338767754e-11
9.950750000000e-05,2.037388947174e-11
9.950800000000e-05,-3.826724314987e-12
9.950850000000e-05,-2.715589948495e-11
9.950900000000e-05,-4.429952968876e-11
9.950950000000e-05,-5.135244612699e-11
9.951000000000e-05,-4.670798079696e-11
9.951050000000e-05,-3.142396856884e-11
9.951100000000e-05,-8.981812111187e-12
9.951150000000e-05,1.550651436892e-11
9.951200000000e-05,3.646289334567e-11
9.951250000000e-05,4.911368551563e-11
9.951300000000e-05,5.057711384543e-11
9.951350000000e-05,4.051971565385e-11
9.951400000000e-05,2.123232675448e-11
9.951450000000e-05,-2.891716390481e-12
9.951500000000e-05,-2.635730338160e-11
9.951550000000e-05,-4.381925707412e-11
9.951600000000e-05,-5.129990033725e-11
9.951650000000e-05,-4.709513538691e-11
9.951700000000e-05,-3.216263891071e-11
9.951750000000e-05,-9.903741760013e-12
9.951800000000e-05,1.461132774061e-11
9.951850000000e-05,3.579836243503e-11
9.951900000000e-05,4.883118454101e-11
9.951950000000e-05,5.074099684869e-11
9.952000000000e-05,4.109265657683e-11
9.952050000000e-05,2.208382083674e-11
9.952100000000e-05,-1.955626174200e-12
9.952150000000e-05,-2.554984594668e-11
9.952200000000e-05,-4.332436251185e-11
9.952250000000e-05,-5.123030262462e-11
9.952300000000e-05,-4.746669227106e-11
9.952350000000e-05,-3.289071874237e-11
9.952400000000e-05,-1.082250053119e-11
9.952450000000e-05,1.371116999663e-11
9.952500000000e-05,3.512185069255e-11
9.952550000000e-05,4.853242203330e-11
9.952600000000e-05,5.088804175045e-11
9.952650000000e-05,4.165201833487e-11
9.952700000000e-05,2.292808788862e-11
9.952750000000e-05,-1.018764562370e-12
9.952800000000e-05,-2.473379432469e-11
9.952850000000e-05,-4.281500854208e-11
9.952900000000e-05,-5.114367389920e-11
9.952950000000e-05,-4.782252596499e-11
9.953000000000e-05,-3.360796476724e-11
9.953050000000e-05,-1.173778273471e-11
9.953100000000e-05,1.280633958865e-11
9.953150000000e-05,3.443358134792e-11
9.953200000000e-05,4.821749515048e-11
9.953250000000e-05,5.101819750433e-11
9.953300000000e-05,4.219761330352e-11
9.953350000000e-05,2.376484644473e-11
9.953400000000e-05,-8.144274792652e-14
9.953450000000e-05,-2.390941855053e-11
9.953500000000e-05,-4.229136253066e-11
9.953550000000e-05,-5.104004073292e-11
9.953600000000e-05,-4.816251619253e-11
9.953650000000e-05,-3.431413725700e-11
9.953700000000e-05,-1.264928379606e-11
9.953750000000e-05,1.189713655974e-11
9.953800000000e-05,3.373378156661e-11
9.953850000000e-05,4.788650643423e-11
9.953900000000e-05,5.113141866928e-11
9.953950000000e-05,4.272925840840e-11
9.954000000000e-05,2.459381749804e-11
9.954050000000e-05,8.560278828581e-13
9.954100000000e-05,-2.307699146013e-11
9.954150000000e-05,-4.175359661415e-11
9.954200000000e-05,-5.091943535139e-11
9.954250000000e-05,-4.848654792634e-11
9.954300000000e-05,-3.500900013171e-11
9.954350000000e-05,-1.355670035756e-11
9.954400000000e-05,1.098386244488e-11
9.954450000000e-05,3.302268237498e-11
9.954500000000e-05,4.753956377663e-11
9.954550000000e-05,5.122766542538e-11
9.954600000000e-05,4.324677518661e-11
9.954650000000e-05,2.541472459294e-11
9.954700000000e-05,1.793335853817e-12
9.954750000000e-05,-2.223678860013e-11
9.954800000000e-05,-4.120188764324e-11
9.954850000000e-05,-5.078189562392e-11
9.954900000000e-05,-4.879451142687e-11
9.954950000000e-05,-3.569232103873e-11
9.955000000000e-05,-1.445973037931e-11
9.955050000000e-05,1.006682017095e-11
9.955100000000e-05,3.230051858393e-11
9.955150000000e-05,4.717678038494e-11
9.955200000000e-05,5.130690358781e-11
9.955250000000e-05,4.374998984666e-11
9.955300000000e-05,2.622729391741e-11
9.955350000000e-05,2.730169702376e-12
9.955400000000e-05,-2.138908813674e-11
9.955450000000e-05,-4.063641712458e-11
9.955500000000e-05,-5.062746505176e-11
9.955550000000e-05,-4.908630227946e-11
9.955600000000e-05,-3.636387143042e-11
9.955650000000e-05,-1.535807323979e-11
9.955700000000e-05,9.146313956288e-12
9.955750000000e-05,3.156752871145e-11
9.955800000000e-05,4.679827474468e-11
9.955850000000e-05,5.136910461894e-11
9.955900000000e-05,4.423873332679e-11
9.955950000000e-05,2.703125439433e-11
9.956000000000e-05,3.666218083056e-12
9.956050000000e-05,-2.053417076357e-11
9.956100000000e-05,-4.005737116113e-11
9.956150000000e-05,-5.045619275425e-11
9.956200000000e-05,-4.936182142976e-11
9.956250000000e-05,-3.702342664060e-11
9.956300000000e-05,-1.625142983585e-11
9.956350000000e-05,8.222649209709e-12
9.956400000000e-05,3.082395490377e-11
9.956450000000e-05,4.640417058100e-11
9.956500000000e-05,5.141424563854e-11
9.956550000000e-05,4.471284135179e-11
9.956600000000e-05,2.782633777196e-11
9.956650000000e-05,4.601169870941e-12
9.956700000000e-05,-1.967231960874e-11
9.956750000000e-05,-3.946494039083e-11
9.956800000000e-05,-5.026813345334e-11
9.956850000000e-05,-4.962097521733e-11
9.956900000000e-05,-3.767076595965e-11
9.956950000000e-05,-1.713950268237e-11
9.957000000000e-05,7.296132429222e-12
9.957050000000e-05,3.007004285544e-11
9.957100000000e-05,4.599459681818e-11
9.957150000000e-05,5.144230943212e-11
9.957200000000e-05,4.517215448820e-11
9.957250000000e-05,2.861227871339e-11
9.957300000000e-05,5.534714265088e-12
9.957350000000e-05,-1.880382014110e-11
9.957400000000e-05,-3.885931992394e-11
9.957450000000e-05,-5.006334745604e-11
9.957500000000e-05,-4.986367540745e-11
9.957550000000e-05,-3.830567270840e-11
9.957600000000e-05,-1.802199601127e-11
9.957650000000e-05,6.367071100308e-12
9.957700000000e-05,2.930604172807e-11
9.957750000000e-05,4.556968753747e-11
9.957800000000e-05,5.145328445742e-11
9.957850000000e-05,4.561651819792e-11
9.957900000000e-05,2.938881488514e-11
9.957950000000e-05,6.466540891854e-12
9.958000000000e-05,-1.792896007565e-11
9.958050000000e-05,-3.824070927869e-11
9.958100000000e-05,-4.984190063520e-11
9.958150000000e-05,-5.008983922119e-11
9.958200000000e-05,-3.892793431069e-11
9.958250000000e-05,-1.889861587004e-11
9.958300000000e-05,5.435773593877e-12
9.958350000000e-05,2.853220406807e-11
9.958400000000e-05,4.512958193328e-11
9.958450000000e-05,5.144716484891e-11
9.958500000000e-05,4.604578289019e-11
9.958550000000e-05,3.015568704467e-11
9.958600000000e-05,7.396339908073e-12
9.958650000000e-05,-1.704802927828e-11
9.958700000000e-05,-3.760931231563e-11
9.958750000000e-05,-4.960386440825e-11
9.958800000000e-05,-5.029938936357e-11
